date,crop_type,region,price
2022-01-03,potatoes,south,178.32734257749757
2022-01-03,potatoes,east,150.45485748406003
2022-01-03,potatoes,west,157.80888832236303
2022-01-03,potatoes,central,149.52457211351268
2022-01-04,wheat,north,299.9729892660303
2022-01-04,wheat,south,288.2415971608223
2022-01-04,wheat,east,286.1201844712023
2022-01-04,wheat,west,354.50295981595946
2022-01-04,wheat,central,286.30964575494136
2022-01-04,rice,north,341.86650781868207
2022-01-04,rice,south,409.19618667181305
2022-01-04,rice,east,445.2610068632205
2022-01-04,rice,west,454.34171930838625
2022-01-04,rice,central,355.85644298706717
2022-01-04,corn,north,224.54887982747908
2022-01-04,corn,south,243.66782967761733
2022-01-04,corn,east,188.2397696215479
2022-01-04,corn,west,198.54683117150847
2022-01-04,corn,central,177.17876148325567
2022-01-04,soybeans,north,598.8017018853362
2022-01-04,soybeans,south,429.77076059465844
2022-01-04,soybeans,east,484.9644729691206
2022-01-04,soybeans,west,544.7995252074058
2022-01-04,soybeans,central,470.6065693292555
2022-01-04,potatoes,north,136.55819265474838
2022-01-04,potatoes,south,150.7563545457016
2022-01-04,potatoes,east,187.77040596590143
2022-01-04,potatoes,west,147.66841550483457
2022-01-04,potatoes,central,148.40991825668917
2022-01-05,wheat,north,269.970090021546
2022-01-05,wheat,south,315.5702518167655
2022-01-05,wheat,east,330.72197899791536
2022-01-05,wheat,west,285.44474889569636
2022-01-05,wheat,central,320.1476074928668
2022-01-05,rice,north,380.90805220672286
2022-01-05,rice,south,328.4322705022461
2022-01-05,rice,east,423.6883767629826
2022-01-05,rice,west,489.203151970553
2022-01-05,rice,central,356.7052037044143
2022-01-05,corn,north,206.21280172389498
2022-01-05,corn,south,229.11182546767333
2022-01-05,corn,east,200.5129258812393
2022-01-05,corn,west,173.67428955489797
2022-01-05,corn,central,203.4897023586624
2022-01-05,soybeans,north,581.9262477006963
2022-01-05,soybeans,south,480.7940542454123
2022-01-05,soybeans,east,518.209237984908
2022-01-05,soybeans,west,453.09172918862856
2022-01-05,soybeans,central,501.4095774096281
2022-01-05,potatoes,north,157.80937524906554
2022-01-05,potatoes,south,153.84634257651328
2022-01-05,potatoes,east,145.3782867006351
2022-01-05,potatoes,west,158.66478256568814
2022-01-05,potatoes,central,162.10616607859933
2022-01-06,wheat,north,327.0488330173993
2022-01-06,wheat,south,295.7158108549798
2022-01-06,wheat,east,285.72118288956244
2022-01-06,wheat,west,364.4439507953534
2022-01-06,wheat,central,308.83215300194263
2022-01-06,rice,north,395.72732506875536
2022-01-06,rice,south,346.18908242996076
2022-01-06,rice,east,368.3100367881697
2022-01-06,rice,west,380.09602886562396
2022-01-06,rice,central,424.0344682085954
2022-01-06,corn,north,195.8583228566198
2022-01-06,corn,south,203.4016974515467
2022-01-06,corn,east,173.98474150737718
2022-01-06,corn,west,231.6160246975117
2022-01-06,corn,central,188.115141478089
2022-01-06,soybeans,north,519.6705653594785
2022-01-06,soybeans,south,480.79436312318893
2022-01-06,soybeans,east,491.5800219392197
2022-01-06,soybeans,west,467.4163372958666
2022-01-06,soybeans,central,522.7769099448121
2022-01-06,potatoes,north,137.38723632051088
2022-01-06,potatoes,south,157.1065093404167
2022-01-06,potatoes,east,150.50984076742162
2022-01-06,potatoes,west,161.9162367393496
2022-01-06,potatoes,central,163.41904873819087
2022-01-07,wheat,north,295.7101620076162
2022-01-07,wheat,south,316.5883037242912
2022-01-07,wheat,east,291.71840429989254
2022-01-07,wheat,west,345.6036088373843
2022-01-07,wheat,central,294.44577082393283
2022-01-07,rice,north,398.9958684305437
2022-01-07,rice,south,388.1219788079447
2022-01-07,rice,east,377.3607011084971
2022-01-07,rice,west,490.02719948865587
2022-01-07,rice,central,427.0197703115898
2022-01-07,corn,north,204.99253858309262
2022-01-07,corn,south,193.91008589439528
2022-01-07,corn,east,226.2698915177419
2022-01-07,corn,west,192.49665736307477
2022-01-07,corn,central,206.06538105374568
2022-01-07,soybeans,north,621.1492746956335
2022-01-07,soybeans,south,460.28993537223084
2022-01-07,soybeans,east,536.4807850167622
2022-01-07,soybeans,west,523.7030032013593
2022-01-07,soybeans,central,535.8997339145037
2022-01-07,potatoes,north,148.35406971297724
2022-01-07,potatoes,south,143.66065846478563
2022-01-07,potatoes,east,156.16333451006312
2022-01-07,potatoes,west,145.74090028057313
2022-01-07,potatoes,central,117.09947765365303
2022-01-08,wheat,north,280.9342475583348
2022-01-08,wheat,south,296.48191231562066
2022-01-08,wheat,east,273.17622399333334
2022-01-08,wheat,west,310.8004220213374
2022-01-08,wheat,central,282.9816510111212
2022-01-08,rice,north,406.4633909990837
2022-01-08,rice,south,496.73725118749053
2022-01-08,rice,east,458.3274777120468
2022-01-08,rice,west,432.3835996707633
2022-01-08,rice,central,482.09609471132995
2022-01-08,corn,north,202.63675121297481
2022-01-08,corn,south,202.84450499505175
2022-01-08,corn,east,182.57170495827617
2022-01-08,corn,west,230.2078572871744
2022-01-08,corn,central,244.06417576791466
2022-01-08,soybeans,north,556.6006511270772
2022-01-08,soybeans,south,582.9307177537407
2022-01-08,soybeans,east,370.61071807331274
2022-01-08,soybeans,west,629.6896551514244
2022-01-08,soybeans,central,504.97131730071993
2022-01-08,potatoes,north,189.15599941706145
2022-01-08,potatoes,south,179.59839628515002
2022-01-08,potatoes,east,164.91373816581896
2022-01-08,potatoes,west,147.83728700004033
2022-01-08,potatoes,central,155.5112357400703
2022-01-09,wheat,north,248.31685870701259
2022-01-09,wheat,south,335.51421677069516
2022-01-09,wheat,east,228.51957578844963
2022-01-09,wheat,west,297.7758242379781
2022-01-09,wheat,central,354.31262719135526
2022-01-09,rice,north,438.7548096140257
2022-01-09,rice,south,346.6454627391463
2022-01-09,rice,east,354.4053835831228
2022-01-09,rice,west,384.8079660188342
2022-01-09,rice,central,412.4661250324219
2022-01-09,corn,north,222.56605968209934
2022-01-09,corn,south,216.99169828646927
2022-01-09,corn,east,182.96405508544134
2022-01-09,corn,west,217.29035121827792
2022-01-09,corn,central,219.4717826073348
2022-01-09,soybeans,north,536.5645423333365
2022-01-09,soybeans,south,638.3504370603749
2022-01-09,soybeans,east,548.7296901782082
2022-01-09,soybeans,west,561.0843870005284
2022-01-09,soybeans,central,607.5370405948405
2022-01-09,potatoes,north,166.51886128778432
2022-01-09,potatoes,south,145.01478959078815
2022-01-09,potatoes,east,172.54395156648934
2022-01-09,potatoes,west,147.3116733165775
2022-01-09,potatoes,central,138.39166674971244
2022-01-10,wheat,north,280.10745636161846
2022-01-10,wheat,south,345.59780722261115
2022-01-10,wheat,east,326.7936619885758
2022-01-10,wheat,west,340.3509859929126
2022-01-10,wheat,central,326.94274848150343
2022-01-10,rice,north,418.0255698445314
2022-01-10,rice,south,423.32488748837835
2022-01-10,rice,east,434.5282138553349
2022-01-10,rice,west,385.55877675816515
2022-01-10,rice,central,357.3394641343666
2022-01-10,corn,north,195.18720240222976
2022-01-10,corn,south,216.30087513197364
2022-01-10,corn,east,191.84913843316747
2022-01-10,corn,west,248.82549345682193
2022-01-10,corn,central,214.19081475070715
2022-01-10,soybeans,north,518.9748657179086
2022-01-10,soybeans,south,481.7511593328794
2022-01-10,soybeans,east,559.8102824542943
2022-01-10,soybeans,west,450.6928940409788
2022-01-10,soybeans,central,529.0412288234337
2022-01-10,potatoes,north,147.15329323659284
2022-01-10,potatoes,south,155.71464782747404
2022-01-10,potatoes,east,161.33560797435172
2022-01-10,potatoes,west,136.2276116710284
2022-01-10,potatoes,central,128.1461223584283
2022-01-11,wheat,north,279.73148966728627
2022-01-11,wheat,south,335.5921897158528
2022-01-11,wheat,east,319.9802552049342
2022-01-11,wheat,west,296.0418965864847
2022-01-11,wheat,central,369.18167529181056
2022-01-11,rice,north,464.14887616630546
2022-01-11,rice,south,454.210526486021
2022-01-11,rice,east,381.5074981722495
2022-01-11,rice,west,453.75339977303673
2022-01-11,rice,central,425.30671100360433
2022-01-11,corn,north,190.79365475949803
2022-01-11,corn,south,203.50600406567426
2022-01-11,corn,east,184.2917244444756
2022-01-11,corn,west,190.97421864135362
2022-01-11,corn,central,182.11719316532452
2022-01-11,soybeans,north,563.2950775056976
2022-01-11,soybeans,south,510.47058618955407
2022-01-11,soybeans,east,465.7078059358073
2022-01-11,soybeans,west,540.7160972106205
2022-01-11,soybeans,central,514.1942912907276
2022-01-11,potatoes,north,170.43758286889883
2022-01-11,potatoes,south,156.29162104797516
2022-01-11,potatoes,east,132.06862210477624
2022-01-11,potatoes,west,146.57357007465004
2022-01-11,potatoes,central,136.38709396358476
2022-01-12,wheat,north,326.6395791781162
2022-01-12,wheat,south,342.7644526871519
2022-01-12,wheat,east,261.48521448820065
2022-01-12,wheat,west,305.3799147291035
2022-01-12,wheat,central,344.87618400418967
2022-01-12,rice,north,348.0234850499648
2022-01-12,rice,south,394.37029481113814
2022-01-12,rice,east,412.29679937030636
2022-01-12,rice,west,456.3176382760695
2022-01-12,rice,central,434.7641485592103
2022-01-12,corn,north,221.59472217641243
2022-01-12,corn,south,218.5730363725054
2022-01-12,corn,east,198.4609122772201
2022-01-12,corn,west,240.03248834822307
2022-01-12,corn,central,192.32213133674867
2022-01-12,soybeans,north,372.1883186704946
2022-01-12,soybeans,south,422.5860416716963
2022-01-12,soybeans,east,509.3584803853164
2022-01-12,soybeans,west,498.295590162747
2022-01-12,soybeans,central,487.7395304205599
2022-01-12,potatoes,north,156.93723401608747
2022-01-12,potatoes,south,173.17524994104213
2022-01-12,potatoes,east,161.63480103784067
2022-01-12,potatoes,west,164.64240057224066
2022-01-12,potatoes,central,137.91973168370527
2022-01-13,wheat,north,293.88424613262157
2022-01-13,wheat,south,331.696547951951
2022-01-13,wheat,east,313.33469578267466
2022-01-13,wheat,west,324.774748606989
2022-01-13,wheat,central,329.01107785900814
2022-01-13,rice,north,420.1841805335547
2022-01-13,rice,south,478.69789191940083
2022-01-13,rice,east,391.3460928721881
2022-01-13,rice,west,379.4609822859291
2022-01-13,rice,central,340.366431358051
2022-01-13,corn,north,222.12810473507315
2022-01-13,corn,south,194.8770382468617
2022-01-13,corn,east,232.82062562743045
2022-01-13,corn,west,211.78177225965337
2022-01-13,corn,central,199.65540520521594
2022-01-13,soybeans,north,462.15687153052284
2022-01-13,soybeans,south,560.3786363238175
2022-01-13,soybeans,east,513.8600512522017
2022-01-13,soybeans,west,530.4799583743015
2022-01-13,soybeans,central,547.8722193915844
2022-01-13,potatoes,north,159.11222522863795
2022-01-13,potatoes,south,141.82162418566347
2022-01-13,potatoes,east,163.0725358924209
2022-01-13,potatoes,west,167.7057905957886
2022-01-13,potatoes,central,160.57654037400079
2022-01-14,wheat,north,330.38988518504476
2022-01-14,wheat,south,333.2858583734452
2022-01-14,wheat,east,298.43300648686863
2022-01-14,wheat,west,297.2679034143471
2022-01-14,wheat,central,379.9355138178042
2022-01-14,rice,north,469.2493012787857
2022-01-14,rice,south,412.32309787929586
2022-01-14,rice,east,442.6113602456991
2022-01-14,rice,west,375.47017373346375
2022-01-14,rice,central,389.50749557846007
2022-01-14,corn,north,181.329179821597
2022-01-14,corn,south,213.07794938843645
2022-01-14,corn,east,213.32040524599458
2022-01-14,corn,west,229.61274441017002
2022-01-14,corn,central,202.767684116931
2022-01-14,soybeans,north,573.1390938988502
2022-01-14,soybeans,south,551.714868591958
2022-01-14,soybeans,east,645.2641540663076
2022-01-14,soybeans,west,604.2404700510788
2022-01-14,soybeans,central,595.1793226388885
2022-01-14,potatoes,north,168.35414951887188
2022-01-14,potatoes,south,141.4765450995143
2022-01-14,potatoes,east,159.91928190213423
2022-01-14,potatoes,west,190.29043359122386
2022-01-14,potatoes,central,163.24670000914273
2022-01-15,wheat,north,285.89324398508364
2022-01-15,wheat,south,321.9560414153596
2022-01-15,wheat,east,280.6656084093866
2022-01-15,wheat,west,284.8212282751015
2022-01-15,wheat,central,324.3523344849274
2022-01-15,rice,north,446.03610762120456
2022-01-15,rice,south,382.1818068768028
2022-01-15,rice,east,392.0816314502996
2022-01-15,rice,west,356.08081658263524
2022-01-15,rice,central,409.951343375756
2022-01-15,corn,north,167.24927901149684
2022-01-15,corn,south,201.44853583464703
2022-01-15,corn,east,209.31310002937772
2022-01-15,corn,west,171.19977135915738
2022-01-15,corn,central,186.74382062827087
2022-01-15,soybeans,north,516.0318286914836
2022-01-15,soybeans,south,508.9461734207881
2022-01-15,soybeans,east,511.3453832407673
2022-01-15,soybeans,west,534.1037297577643
2022-01-15,soybeans,central,432.3658284094235
2022-01-15,potatoes,north,166.78250718666126
2022-01-15,potatoes,south,150.78141456963482
2022-01-15,potatoes,east,146.45994748113702
2022-01-15,potatoes,west,126.70117383812892
2022-01-15,potatoes,central,151.57805651652427
2022-01-16,wheat,north,328.22565340969726
2022-01-16,wheat,south,316.6585387890086
2022-01-16,wheat,east,317.5715454881432
2022-01-16,wheat,west,301.65188156069695
2022-01-16,wheat,central,310.34756144283233
2022-01-16,rice,north,370.21193747337867
2022-01-16,rice,south,416.1190709257167
2022-01-16,rice,east,395.8720743198795
2022-01-16,rice,west,369.4901314866753
2022-01-16,rice,central,447.7377713460944
2022-01-16,corn,north,175.37374045017
2022-01-16,corn,south,219.07220793938987
2022-01-16,corn,east,220.38074675788266
2022-01-16,corn,west,197.18380742191687
2022-01-16,corn,central,229.6076083803488
2022-01-16,soybeans,north,491.8614144614222
2022-01-16,soybeans,south,488.59249424759946
2022-01-16,soybeans,east,457.9307518438255
2022-01-16,soybeans,west,519.9574674026186
2022-01-16,soybeans,central,470.50861369208934
2022-01-16,potatoes,north,143.75995193061567
2022-01-16,potatoes,south,155.09844256250483
2022-01-16,potatoes,east,155.75206351043465
2022-01-16,potatoes,west,175.72657616336204
2022-01-16,potatoes,central,170.65425577750483
2022-01-17,wheat,north,330.22675884096213
2022-01-17,wheat,south,308.394974513122
2022-01-17,wheat,east,300.3367490800107
2022-01-17,wheat,west,312.14941213821703
2022-01-17,wheat,central,295.57108918540564
2022-01-17,rice,north,388.05850148146243
2022-01-17,rice,south,414.0208374423837
2022-01-17,rice,east,380.6532127905726
2022-01-17,rice,west,383.21791685787286
2022-01-17,rice,central,457.1566959331007
2022-01-17,corn,north,179.86685160414268
2022-01-17,corn,south,186.95904816966785
2022-01-17,corn,east,235.22190091041134
2022-01-17,corn,west,200.4723129740119
2022-01-17,corn,central,237.36587123680036
2022-01-17,soybeans,north,460.74219394892674
2022-01-17,soybeans,south,525.4849274546024
2022-01-17,soybeans,east,561.8974827346068
2022-01-17,soybeans,west,474.3774291806286
2022-01-17,soybeans,central,608.975440282633
2022-01-17,potatoes,north,150.3822376213465
2022-01-17,potatoes,south,164.4576468963433
2022-01-17,potatoes,east,145.87992015145147
2022-01-17,potatoes,west,179.83324736907934
2022-01-17,potatoes,central,161.23815677544133
2022-01-18,wheat,north,379.5176253292096
2022-01-18,wheat,south,350.7114738154507
2022-01-18,wheat,east,339.9809728479065
2022-01-18,wheat,west,283.75738426503847
2022-01-18,wheat,central,316.35213857407564
2022-01-18,rice,north,405.0488109771404
2022-01-18,rice,south,419.3923473035217
2022-01-18,rice,east,424.4743638026634
2022-01-18,rice,west,380.6195240300332
2022-01-18,rice,central,411.74633976292023
2022-01-18,corn,north,207.13168711860394
2022-01-18,corn,south,188.01894831108433
2022-01-18,corn,east,225.8881729690379
2022-01-18,corn,west,213.80086239631603
2022-01-18,corn,central,226.15663543222294
2022-01-18,soybeans,north,548.344243418319
2022-01-18,soybeans,south,433.2689115352623
2022-01-18,soybeans,east,479.2981408383446
2022-01-18,soybeans,west,609.3104017384686
2022-01-18,soybeans,central,563.9189743623797
2022-01-18,potatoes,north,131.42357652857564
2022-01-18,potatoes,south,164.23335480688507
2022-01-18,potatoes,east,143.81124957319025
2022-01-18,potatoes,west,123.97504091097929
2022-01-18,potatoes,central,182.85582852931813
2022-01-19,wheat,north,316.82580886478206
2022-01-19,wheat,south,321.2801747753023
2022-01-19,wheat,east,274.93707030814016
2022-01-19,wheat,west,278.1959034662308
2022-01-19,wheat,central,264.40696756929253
2022-01-19,rice,north,478.6866115276369
2022-01-19,rice,south,350.3753241023585
2022-01-19,rice,east,487.0641221931826
2022-01-19,rice,west,377.90352596209306
2022-01-19,rice,central,367.7941274498387
2022-01-19,corn,north,208.47727475540916
2022-01-19,corn,south,195.29445527701597
2022-01-19,corn,east,211.6777749330161
2022-01-19,corn,west,191.24954796048047
2022-01-19,corn,central,203.06629736568277
2022-01-19,soybeans,north,484.3482005496624
2022-01-19,soybeans,south,569.2316535263839
2022-01-19,soybeans,east,550.9615508090992
2022-01-19,soybeans,west,537.0780707273773
2022-01-19,soybeans,central,579.3111419529783
2022-01-19,potatoes,north,161.36650134556993
2022-01-19,potatoes,south,160.0398050840582
2022-01-19,potatoes,east,155.34255215171376
2022-01-19,potatoes,west,145.96710036451037
2022-01-19,potatoes,central,146.00178172811502
2022-01-20,wheat,north,319.8256106446706
2022-01-20,wheat,south,347.2717850850098
2022-01-20,wheat,east,333.16574151192987
2022-01-20,wheat,west,332.984647350911
2022-01-20,wheat,central,280.3237579959912
2022-01-20,rice,north,442.2234548358356
2022-01-20,rice,south,403.47462565890635
2022-01-20,rice,east,427.63672985377116
2022-01-20,rice,west,443.4498747256978
2022-01-20,rice,central,371.66160754173893
2022-01-20,corn,north,213.4331433729962
2022-01-20,corn,south,215.09016550493087
2022-01-20,corn,east,231.1095685614198
2022-01-20,corn,west,199.2648058764805
2022-01-20,corn,central,208.83941671880171
2022-01-20,soybeans,north,534.2426828511163
2022-01-20,soybeans,south,498.16671779442487
2022-01-20,soybeans,east,497.2073982232266
2022-01-20,soybeans,west,495.17995822047726
2022-01-20,soybeans,central,518.6047449566532
2022-01-20,potatoes,north,185.12735789332285
2022-01-20,potatoes,south,156.14320932837364
2022-01-20,potatoes,east,165.27761594221474
2022-01-20,potatoes,west,158.09215100609407
2022-01-20,potatoes,central,152.74782498211704
2022-01-21,wheat,north,315.1509827645727
2022-01-21,wheat,south,340.22024008154557
2022-01-21,wheat,east,314.22630672676627
2022-01-21,wheat,west,310.83125546691633
2022-01-21,wheat,central,308.4985727023357
2022-01-21,rice,north,379.3731404976453
2022-01-21,rice,south,465.03130393919713
2022-01-21,rice,east,402.394700797499
2022-01-21,rice,west,483.11511890399714
2022-01-21,rice,central,431.52808723554324
2022-01-21,corn,north,240.219675726882
2022-01-21,corn,south,206.3992849948007
2022-01-21,corn,east,195.1688099410176
2022-01-21,corn,west,232.58173161382035
2022-01-21,corn,central,198.79474734624017
2022-01-21,soybeans,north,594.2125276743377
2022-01-21,soybeans,south,556.996475916747
2022-01-21,soybeans,east,603.6334254431229
2022-01-21,soybeans,west,475.1119585474921
2022-01-21,soybeans,central,576.8884661724379
2022-01-21,potatoes,north,146.22544836737
2022-01-21,potatoes,south,120.10433235692801
2022-01-21,potatoes,east,172.10940799561138
2022-01-21,potatoes,west,157.8565892243595
2022-01-21,potatoes,central,173.1597850203869
2022-01-22,wheat,north,319.55108174586286
2022-01-22,wheat,south,317.3175905174455
2022-01-22,wheat,east,364.0605282767492
2022-01-22,wheat,west,320.3832231975551
2022-01-22,wheat,central,301.5814789213153
2022-01-22,rice,north,418.45242125023515
2022-01-22,rice,south,428.83871176310333
2022-01-22,rice,east,302.08691930833567
2022-01-22,rice,west,442.91712089066306
2022-01-22,rice,central,479.5541760989392
2022-01-22,corn,north,210.05762345056834
2022-01-22,corn,south,202.2098898126553
2022-01-22,corn,east,219.27718816587165
2022-01-22,corn,west,247.8965808918842
2022-01-22,corn,central,220.99605209723794
2022-01-22,soybeans,north,539.0424670909347
2022-01-22,soybeans,south,507.11732777690287
2022-01-22,soybeans,east,471.28887746061986
2022-01-22,soybeans,west,528.9646275481074
2022-01-22,soybeans,central,529.9234683639212
2022-01-22,potatoes,north,127.7300697173176
2022-01-22,potatoes,south,146.81245058291782
2022-01-22,potatoes,east,176.66575490457845
2022-01-22,potatoes,west,154.23307559192293
2022-01-22,potatoes,central,119.43846338486594
2022-01-23,wheat,north,368.1689300262286
2022-01-23,wheat,south,289.06238002689446
2022-01-23,wheat,east,302.43069242728404
2022-01-23,wheat,west,351.06600337705817
2022-01-23,wheat,central,293.8047922077879
2022-01-23,rice,north,339.7829314298076
2022-01-23,rice,south,432.3458679533959
2022-01-23,rice,east,456.85736772231223
2022-01-23,rice,west,403.28986770127386
2022-01-23,rice,central,417.94179366212643
2022-01-23,corn,north,186.60896464492126
2022-01-23,corn,south,190.50888892986447
2022-01-23,corn,east,204.76417869980205
2022-01-23,corn,west,225.29258477334471
2022-01-23,corn,central,213.63852146852338
2022-01-23,soybeans,north,582.8776880773992
2022-01-23,soybeans,south,616.3883335326028
2022-01-23,soybeans,east,575.81775229832
2022-01-23,soybeans,west,444.82765299648435
2022-01-23,soybeans,central,513.9150326506957
2022-01-23,potatoes,north,172.59336795234782
2022-01-23,potatoes,south,156.78051820547472
2022-01-23,potatoes,east,132.98214244280476
2022-01-23,potatoes,west,149.9187671639982
2022-01-23,potatoes,central,122.61874757710228
2022-01-24,wheat,north,309.2407405618375
2022-01-24,wheat,south,296.28187678571186
2022-01-24,wheat,east,306.59600435800826
2022-01-24,wheat,west,355.6457810654921
2022-01-24,wheat,central,275.71948138385585
2022-01-24,rice,north,393.63051592427666
2022-01-24,rice,south,375.6683588446748
2022-01-24,rice,east,469.5234939440425
2022-01-24,rice,west,472.0638370932073
2022-01-24,rice,central,439.35968535422114
2022-01-24,corn,north,218.581755446912
2022-01-24,corn,south,186.59211102474322
2022-01-24,corn,east,216.26833536977364
2022-01-24,corn,west,188.25513073783006
2022-01-24,corn,central,212.91813539340578
2022-01-24,soybeans,north,511.910296890715
2022-01-24,soybeans,south,498.61412353819105
2022-01-24,soybeans,east,531.6119400726626
2022-01-24,soybeans,west,566.0140381218212
2022-01-24,soybeans,central,624.2306298052237
2022-01-24,potatoes,north,167.79598494987783
2022-01-24,potatoes,south,195.26114431283972
2022-01-24,potatoes,east,162.22886053795304
2022-01-24,potatoes,west,187.40326071429976
2022-01-24,potatoes,central,165.9607250758901
2022-01-25,wheat,north,326.41757362808045
2022-01-25,wheat,south,313.411045860774
2022-01-25,wheat,east,328.3082643760159
2022-01-25,wheat,west,332.53130013474015
2022-01-25,wheat,central,273.58904323277454
2022-01-25,rice,north,454.7861267462764
2022-01-25,rice,south,361.95718730044206
2022-01-25,rice,east,454.8336155221904
2022-01-25,rice,west,450.48903063976536
2022-01-25,rice,central,485.4391294399144
2022-01-25,corn,north,194.19476739168348
2022-01-25,corn,south,191.53831745009268
2022-01-25,corn,east,236.04680262740158
2022-01-25,corn,west,189.6737747467098
2022-01-25,corn,central,187.5827456279933
2022-01-25,soybeans,north,542.3731710950026
2022-01-25,soybeans,south,528.8088474503879
2022-01-25,soybeans,east,539.5433863634743
2022-01-25,soybeans,west,559.8583762955832
2022-01-25,soybeans,central,560.1550274800929
2022-01-25,potatoes,north,158.14566502117083
2022-01-25,potatoes,south,160.1543561535668
2022-01-25,potatoes,east,158.31919891660536
2022-01-25,potatoes,west,159.94908296324198
2022-01-25,potatoes,central,137.27274418361947
2022-01-26,wheat,north,343.63966247645493
2022-01-26,wheat,south,352.98888522431497
2022-01-26,wheat,east,339.83916545587397
2022-01-26,wheat,west,337.3815732798424
2022-01-26,wheat,central,287.82768115188753
2022-01-26,rice,north,365.68128403043903
2022-01-26,rice,south,461.35978734437685
2022-01-26,rice,east,427.18345547170014
2022-01-26,rice,west,433.1880477435341
2022-01-26,rice,central,435.1031607614031
2022-01-26,corn,north,218.45806158369135
2022-01-26,corn,south,226.75350361541962
2022-01-26,corn,east,210.95080526458256
2022-01-26,corn,west,172.40796440032267
2022-01-26,corn,central,227.64515337452264
2022-01-26,soybeans,north,563.2101113879866
2022-01-26,soybeans,south,463.52376207835647
2022-01-26,soybeans,east,470.37105800001535
2022-01-26,soybeans,west,579.4737611410454
2022-01-26,soybeans,central,592.044158661448
2022-01-26,potatoes,north,117.18913439687464
2022-01-26,potatoes,south,166.77936549261435
2022-01-26,potatoes,east,156.2129022769635
2022-01-26,potatoes,west,160.9221313699159
2022-01-26,potatoes,central,161.83444892481882
2022-01-27,wheat,north,295.7687722725561
2022-01-27,wheat,south,341.06688527509897
2022-01-27,wheat,east,298.13781775244246
2022-01-27,wheat,west,344.08745336765156
2022-01-27,wheat,central,351.195757842891
2022-01-27,rice,north,389.66183767293336
2022-01-27,rice,south,390.70514987010506
2022-01-27,rice,east,431.7456444246319
2022-01-27,rice,west,491.08392282474904
2022-01-27,rice,central,401.59138208392267
2022-01-27,corn,north,204.84077749910432
2022-01-27,corn,south,220.30006496115723
2022-01-27,corn,east,227.46565347288978
2022-01-27,corn,west,224.6948335325099
2022-01-27,corn,central,214.13617746809936
2022-01-27,soybeans,north,517.3141826280754
2022-01-27,soybeans,south,551.3238363496604
